"Zip"	"Helsinki should be an example of reducing carbon dioxide emissions"	"Local wind power should be produced in Helsinki"	"Construction of wind turbines would have a positive impact on Helsinki's image."	"Construction of wind turbines would have a positive impact on the landscape of Helsinki's."	"How often do you spend your free time on the shores of Helsinki?"	"How often do you spend your free time at the waters of Helsinki?"	"What do you feel if wind turbines would be visible to sea lanes that approach Helsinki?"	"What do you feel if wind turbines could be seen from the ramparts of Suomenlinna?"	"What do you feel if wind turbines would be built at the port and power plant areas of Helsinki?"	"What do you feel if wind turbines would be built on the landfills (Malminkartano tai vuosaari) of Helsinki?"	"What do you feel if wind turbines would be built at the outer territorial waters (8-10 km from the coastline) of Helsinki?"	"What do you feel if wind turbines would be built at the inner archipelago (4-5 km from coastline) of Helsinki?"	"What do you feel if wind turbines would be built at shores (1-2 km from coastline) of Helsinki?"	"I would like to influence the placement of wind turbines in Helsinki"	"I would like to buy local wind power in Helsinki, even if cheaper electricity would be available from elsewhere"	"I would like to participate in the construction of wind power as an investor (eg funds, shareholdings)."
"00000"	1.83333333333333	1.33333333333333	1.33333333333333	0.5	2.5	2	1	0.833333333333333	1.33333333333333	0.833333333333333	1	0.833333333333333	0.833333333333333	0.833333333333333	-0.166666666666667	-0.333333333333333
"00100"	0.867088607594937	0.791139240506329	0.727848101265823	0.329113924050633	2.84177215189873	1.75316455696203	0.746835443037975	0.474683544303797	0.740506329113924	0.639240506329114	0.411392405063291	0.139240506329114	0.107594936708861	1.10126582278481	0.246835443037975	-0.113924050632911
"00120"	1.53846153846154	1.30769230769231	1.35384615384615	0.861538461538462	3.13846153846154	1.93846153846154	1.29230769230769	1.03076923076923	1.24615384615385	0.861538461538462	1.06153846153846	0.753846153846154	0.676923076923077	1.07692307692308	0.876923076923077	0.0769230769230769
"00130"	0.818181818181818	1.09090909090909	0.818181818181818	0.909090909090909	3.54545454545455	2.18181818181818	0.909090909090909	0.181818181818182	0.636363636363636	0.818181818181818	0.909090909090909	0.181818181818182	0.181818181818182	1	-0.363636363636364	-1.09090909090909
"00140"	0.95	0.4	0.45	-0.375	3.5	1.8	0.425	-0.075	0.2	0.575	0.4	-0.175	-0.325	1.125	0.075	-0.025
"00150"	1.05454545454545	0.836363636363636	0.890909090909091	0.4	3.32727272727273	1.6	0.636363636363636	0.381818181818182	0.618181818181818	0.454545454545455	0.781818181818182	0.163636363636364	-0.163636363636364	1.18181818181818	0.309090909090909	-0.163636363636364
"00160"	0.714285714285714	0.714285714285714	0.678571428571429	0.214285714285714	3.57142857142857	1.67857142857143	0.785714285714286	0.214285714285714	0.428571428571429	0.678571428571429	0.821428571428571	0	0	1.21428571428571	0.392857142857143	-0.535714285714286
"00170"	1.14893617021277	0.659574468085106	0.702127659574468	0.170212765957447	3.51063829787234	1.78723404255319	0.808510638297872	0.553191489361702	0.787234042553192	0.978723404255319	0.957446808510638	0.191489361702128	-0.0212765957446809	1.31914893617021	0.851063829787234	0.0638297872340425
"00180"	1.52083333333333	1.1875	1.29166666666667	0.604166666666667	3.4375	1.5625	1.22916666666667	0.875	1.04166666666667	1.16666666666667	1.33333333333333	0.854166666666667	0.354166666666667	0.958333333333333	0.708333333333333	0.1875
"00190"	1.83333333333333	1	1.33333333333333	1	3.5	3.33333333333333	1.16666666666667	0.5	1.33333333333333	1.66666666666667	0.833333333333333	0.333333333333333	0.5	0.833333333333333	1	0
"00200"	1.3875	1	1.0375	0.2125	3.5	1.4375	0.9625	0.6125	0.875	0.925	1.1125	0.5	-0.05	1.0875	0.5625	0.125
"00210"	1.03846153846154	0.692307692307692	0.769230769230769	0.0384615384615385	3.80769230769231	2	0.576923076923077	0.153846153846154	0.307692307692308	0.423076923076923	0.423076923076923	0	-0.461538461538462	1.23076923076923	-0.153846153846154	-0.307692307692308
"00220"	1.88235294117647	1.47058823529412	1.52941176470588	0.882352941176471	3.64705882352941	1.47058823529412	1.41176470588235	1.11764705882353	1.58823529411765	1.47058823529412	1.47058823529412	1	0.705882352941177	0.823529411764706	1.17647058823529	0.235294117647059
"00230"	2	-1	-2	-2	4	2	-2	-2	-1	-2	-2	-2	-2	2	-1	-2
"00240"	2	1.77777777777778	1.55555555555556	0.833333333333333	3	1.11111111111111	1.72222222222222	1.27777777777778	1.88888888888889	1.55555555555556	1.72222222222222	1.33333333333333	1.05555555555556	0.388888888888889	1.38888888888889	0.333333333333333
"00250"	1.31578947368421	1.13157894736842	1.07894736842105	0.552631578947368	3.13157894736842	1.39473684210526	1.18421052631579	0.842105263157895	1.31578947368421	1.07894736842105	1.23684210526316	0.736842105263158	0.526315789473684	1.15789473684211	0.763157894736842	0.184210526315789
"00260"	1.3	1.15	1.25	0.6	3	1.1	1.4	0.75	1	0.85	1.45	0.6	0.05	1.25	0.6	0.4
"00270"	1.32	0.52	1	0.04	3	1.24	0.96	0.68	0.88	0.84	1.08	0.32	-0.08	0.88	0.52	-0.36
"00280"	1.5	1.375	1.375	0.75	3	1.5	1.25	0.75	1.25	1.125	0.75	0.75	-0.125	0.5	0.75	0.75
"00300"	1.30434782608696	0.739130434782609	0.869565217391304	0.347826086956522	3.30434782608696	1.47826086956522	0.695652173913043	0.434782608695652	0.782608695652174	0.826086956521739	0.739130434782609	0.304347826086957	-0.0434782608695652	0.869565217391304	0.652173913043478	-0.260869565217391
"00310"	2	2	2	1.5	3	1.5	2	1	2	2	2	1	1	1	1	0.5
"00320"	1.58064516129032	1.51612903225806	1.41935483870968	0.806451612903226	2.74193548387097	1.38709677419355	1.29032258064516	0.935483870967742	1.48387096774194	1.03225806451613	1.54838709677419	0.709677419354839	0.548387096774194	1.06451612903226	0.67741935483871	0.0645161290322581
"00330"	1.47368421052632	1	1	0.315789473684211	3.60526315789474	1.60526315789474	1	0.631578947368421	0.973684210526316	1.02631578947368	1.07894736842105	0.684210526315789	0.0789473684210526	1.05263157894737	0.552631578947368	-0.131578947368421
"00340"	-1.25	-1.25	-1	-1.75	3.25	1.5	-1.25	-1.25	-2	-2	-1.25	-1.75	-2	1.75	-1.75	-2
"00350"	1.6	1.2	1.1	0.75	2.7	1.15	1.2	0.95	1.25	0.9	1.05	0.7	0.5	1.15	0.75	0.1
"00360"	2	1	1.66666666666667	0.666666666666667	3.66666666666667	2	1	1	1.66666666666667	1	1	1	0.666666666666667	0	1.66666666666667	0.333333333333333
"00370"	1.28571428571429	1.28571428571429	1.42857142857143	1.14285714285714	2.42857142857143	0.857142857142857	1.42857142857143	1.28571428571429	1.28571428571429	1	1.28571428571429	1.14285714285714	0.714285714285714	-0.142857142857143	1	0
"00380"	1.44444444444444	1.44444444444444	1	1	2.66666666666667	1.22222222222222	1	0.666666666666667	1.11111111111111	1.11111111111111	0.888888888888889	0.777777777777778	0.666666666666667	0.666666666666667	0.444444444444444	-0.555555555555556
"00390"	1.7	1.3	1.2	0.3	2.2	1	1.1	0.9	1.4	1	1.5	0.5	0.5	1	-0.2	-0.8
"00400"	1.05555555555556	0.555555555555556	0.944444444444444	0.166666666666667	2.66666666666667	1.11111111111111	1.05555555555556	0.5	0.611111111111111	0.611111111111111	0.944444444444444	0.5	0.0555555555555556	1.11111111111111	0.388888888888889	-0.166666666666667
"00410"	0.6	1	0.8	0.2	2.4	1.8	1	0.5	0.9	1.3	1	0.4	-0.2	0.8	0.2	-0.8
"00420"	0.210526315789474	0.210526315789474	-0.0526315789473684	-0.421052631578947	2.68421052631579	1.47368421052632	0.0526315789473684	-0.263157894736842	0.315789473684211	-0.0526315789473684	0.368421052631579	0	-0.0526315789473684	1.26315789473684	-0.263157894736842	-0.578947368421053
"00430"	0.7	0.4	0.5	-0.8	2.6	1.7	0.3	0.1	0.3	-0.2	0.4	-0.5	-0.9	1.2	0	-0.6
"00440"	1.52941176470588	1.05882352941176	1.35294117647059	0.705882352941177	2.41176470588235	1.05882352941176	1.17647058823529	0.941176470588235	1.05882352941176	0.941176470588235	1.47058823529412	0.705882352941177	0.529411764705882	0.823529411764706	0.529411764705882	0.294117647058824
"00500"	1.46052631578947	1.27631578947368	1.36842105263158	0.881578947368421	3.01315789473684	1.15789473684211	1.36842105263158	0.855263157894737	1.34210526315789	1.21052631578947	1.28947368421053	0.855263157894737	0.710526315789474	0.723684210526316	0.736842105263158	-0.0131578947368421
"00510"	1.66666666666667	1.28888888888889	1.37777777777778	0.888888888888889	2.86666666666667	1.24444444444444	1.37777777777778	0.933333333333333	1.31111111111111	1.26666666666667	1.22222222222222	0.755555555555556	0.511111111111111	0.844444444444444	1.02222222222222	0
"00520"	1.87179487179487	1.46153846153846	1.51282051282051	1.05128205128205	2.84615384615385	1.30769230769231	1.48717948717949	1.20512820512821	1.61538461538462	1.53846153846154	1.61538461538462	1	0.641025641025641	0.923076923076923	1.23076923076923	0.282051282051282
"00530"	1.5631067961165	1.10679611650485	1.0873786407767	0.495145631067961	3.29126213592233	1.4368932038835	1.33009708737864	0.912621359223301	1.1747572815534	1.04854368932039	1.29126213592233	0.805825242718447	0.504854368932039	0.961165048543689	0.572815533980582	0.00970873786407767
"00540"	1.5	1.3	1.55	0.75	3.9	1.15	1.3	1.15	1.5	1.35	1.5	1	0.5	0.55	0.95	-0.05
"00550"	1.609375	1.3125	1.421875	0.546875	2.921875	1.296875	1.296875	0.8125	1.265625	1.28125	1.453125	0.625	0.40625	0.875	0.796875	0.078125
"00560"	1.6984126984127	1.47619047619048	1.61904761904762	0.761904761904762	3.28571428571429	1.34920634920635	1.49206349206349	0.920634920634921	1.34920634920635	1.33333333333333	1.6031746031746	0.936507936507937	0.492063492063492	0.857142857142857	1.17460317460317	0.333333333333333
"00570"	1.2	0.7	0.9	0.6	3.65	1.55	0.8	0.55	0.55	0.65	0.75	0.05	-0.2	1.25	0.35	-0.25
"00580"	1.72222222222222	1.83333333333333	1.77777777777778	1.22222222222222	3.22222222222222	1.27777777777778	1.83333333333333	1.38888888888889	2	1.77777777777778	1.94444444444444	1.16666666666667	0.777777777777778	1.05555555555556	1.27777777777778	0.5
"00590"	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	2
"00600"	1.88888888888889	2	1.66666666666667	0.777777777777778	2.77777777777778	1	1.88888888888889	1	1.55555555555556	1.44444444444444	2	1	0.888888888888889	1.22222222222222	0.333333333333333	0.111111111111111
"00610"	1.6734693877551	1.48979591836735	1.55102040816327	0.693877551020408	2.77551020408163	1.30612244897959	1.44897959183673	0.979591836734694	1.46938775510204	1.51020408163265	1.40816326530612	0.510204081632653	0.163265306122449	0.938775510204082	0.979591836734694	0.122448979591837
"00620"	0.818181818181818	1	1	0.363636363636364	2.36363636363636	1.18181818181818	0.727272727272727	0.363636363636364	0.909090909090909	0.636363636363636	1	0.454545454545455	0.181818181818182	1.63636363636364	0.0909090909090909	0
"00630"	1.63157894736842	1.10526315789474	1.15789473684211	0.526315789473684	2.68421052631579	1.21052631578947	1.15789473684211	0.842105263157895	1.21052631578947	1.15789473684211	1.31578947368421	0.684210526315789	0.736842105263158	0.894736842105263	0.842105263157895	0.157894736842105
"00640"	1.11764705882353	0.705882352941177	0.823529411764706	-0.0588235294117647	2.47058823529412	1	0.705882352941177	0.117647058823529	1	0.705882352941177	0.823529411764706	0.294117647058824	-0.0588235294117647	1.05882352941176	0.352941176470588	-0.411764705882353
"00650"	1.09090909090909	0.909090909090909	1.09090909090909	0.727272727272727	3	1.63636363636364	1.27272727272727	0.727272727272727	0.909090909090909	0.909090909090909	1.27272727272727	0.818181818181818	0.454545454545455	0.727272727272727	0.727272727272727	0.0909090909090909
"00660"	1.5	0.928571428571429	0.928571428571429	-0.142857142857143	2.5	1.5	1.21428571428571	0.857142857142857	1.28571428571429	1	1.14285714285714	0.357142857142857	0.214285714285714	1.21428571428571	0.428571428571429	-0.0714285714285714
"00670"	0.125	0.1875	0.25	-0.5625	2.25	1.125	0.1875	-0.1875	0.1875	0.1875	0.5	-0.0625	-0.1875	0.8125	-0.6875	-1
"00680"	-1	0.5	0.5	0.5	2.5	2	1.5	0.5	1.5	1	0.5	0.5	0.5	2	0	-1.5
"00690"	1.25	1	1	1	2.75	1.25	1.25	0.75	1	1	1	0.5	0.25	0.75	0.25	0.75
"00700"	1.26315789473684	1	1	0.315789473684211	2.47368421052632	1.21052631578947	1.15789473684211	0.368421052631579	1.10526315789474	0.947368421052632	1.15789473684211	0.368421052631579	0.157894736842105	0.789473684210526	0.789473684210526	0.0526315789473684
"00710"	1.8	1.2	1.26666666666667	1.06666666666667	3.2	1.26666666666667	1.33333333333333	1.2	1.26666666666667	1.06666666666667	1.46666666666667	0.933333333333333	0.666666666666667	0.6	0.533333333333333	0
"00720"	1.25	1.125	1.1875	0.4375	2.5625	1.1875	1	0.375	1.3125	1	1.1875	0.6875	0.3125	1.25	0.9375	0.1875
"00730"	1.05	0.8	0.9	0.05	1.85	1.15	0.9	0.5	0.95	0.55	1	0.7	0.3	0.75	0	-0.35
"00740"	1.23529411764706	0.941176470588235	1	0	2	0.882352941176471	1.05882352941176	0.411764705882353	0.705882352941177	0.470588235294118	1.47058823529412	0.647058823529412	0.529411764705882	1.17647058823529	-0.0588235294117647	-0.529411764705882
"00750"	1.42105263157895	1.36842105263158	1.57894736842105	0.842105263157895	2.26315789473684	1.15789473684211	1.42105263157895	0.894736842105263	1.47368421052632	1.26315789473684	1.15789473684211	1	0.894736842105263	0.789473684210526	0.684210526315789	-0.263157894736842
"00760"	1.1	0.7	0.6	0.5	2.2	0.8	0.4	0.3	0.8	0.7	1.1	0.5	0.2	1.2	0.7	-0.1
"00770"	2	1.75	1.875	1.625	2.375	0.75	2	1.75	2	1.875	1.875	1.625	1.625	0.25	1.625	-0.75
"00780"	1	0.25	0.416666666666667	-0.166666666666667	2.91666666666667	1.58333333333333	0.333333333333333	0.0833333333333333	0.333333333333333	-0.0833333333333333	0.333333333333333	-0.0833333333333333	-0.25	1.33333333333333	-0.25	-0.666666666666667
"00790"	1.70588235294118	1.31372549019608	1.31372549019608	0.490196078431373	2.80392156862745	1.11764705882353	1.29411764705882	0.784313725490196	1.3921568627451	1.05882352941176	1.17647058823529	0.686274509803922	0.0588235294117647	1.17647058823529	0.823529411764706	0.0196078431372549
"00800"	1.6969696969697	1.39393939393939	1.45454545454545	0.636363636363636	3.06060606060606	1.39393939393939	1.27272727272727	0.727272727272727	1.21212121212121	0.909090909090909	1.39393939393939	0.606060606060606	0.454545454545455	1.3030303030303	1.21212121212121	0.606060606060606
"00810"	1.43478260869565	1.34782608695652	1.45652173913043	0.934782608695652	3.6304347826087	1.69565217391304	1.45652173913043	1.21739130434783	1.3695652173913	1.30434782608696	1.52173913043478	1.17391304347826	0.717391304347826	1.34782608695652	1	0.217391304347826
"00820"	1.69230769230769	1.33333333333333	1.30769230769231	0.82051282051282	3.66666666666667	1.25641025641026	1.17948717948718	0.923076923076923	1.35897435897436	1.12820512820513	1.25641025641026	0.794871794871795	0.358974358974359	1.12820512820513	0.871794871794872	0.205128205128205
"00830"	1.8	1.2	1.2	0.6	3.6	1.6	1.2	0.8	1.2	0.8	1.2	0.8	0.4	0.4	0.8	0.2
"00840"	0.888888888888889	0.833333333333333	0.777777777777778	0.222222222222222	3.66666666666667	1.5	0.777777777777778	0.611111111111111	0.611111111111111	0.5	0.888888888888889	0.333333333333333	0.222222222222222	0.888888888888889	0.222222222222222	-0.333333333333333
"00850"	0.4	-0.2	-0.4	-0.8	3.9	2	-0.4	-0.5	0.2	-0.1	-0.7	-0.8	-1	1.7	-0.6	-0.9
"00860"	0.666666666666667	0.666666666666667	0.333333333333333	-0.333333333333333	2.33333333333333	2	0.333333333333333	0.333333333333333	0.666666666666667	-0.333333333333333	-0.333333333333333	-0.666666666666667	-1.33333333333333	2	0.333333333333333	0
"00870"	1.33333333333333	1	0.833333333333333	0.583333333333333	3.58333333333333	1.41666666666667	0.916666666666667	0.666666666666667	0.75	0.75	1.16666666666667	0.0833333333333333	-0.5	1.5	0.833333333333333	0.25
"00880"	1.2	0.4	0.4	0	3.2	1.6	0.4	0.2	0.6	0.6	0.6	-0.2	-0.4	0.6	0.4	-0.2
"00890"	2	0.5	0.5	0	4	2	0	0	1.5	1.5	-2	0	0.5	2	0	0
"00900"	1.11111111111111	0.111111111111111	-0.111111111111111	-0.444444444444444	3.11111111111111	1.44444444444444	0	-0.333333333333333	-0.222222222222222	0	0.555555555555556	-0.333333333333333	-0.555555555555556	1.66666666666667	-0.777777777777778	-0.444444444444444
"00910"	1.63636363636364	1.54545454545455	1.54545454545455	0.909090909090909	3.63636363636364	1.36363636363636	1.59090909090909	1.09090909090909	1.5	1	1.54545454545455	1.13636363636364	0.545454545454545	0.681818181818182	1.13636363636364	-0.227272727272727
"00920"	1.5	1.58333333333333	1.75	0.791666666666667	3.33333333333333	1.625	1.54166666666667	1.04166666666667	1.375	1.16666666666667	1.625	0.75	0.291666666666667	1.20833333333333	0.791666666666667	0.125
"00930"	0.588235294117647	0.235294117647059	0.235294117647059	-0.0588235294117647	3.41176470588235	1.64705882352941	0.235294117647059	-0.235294117647059	0.117647058823529	0.0588235294117647	0.235294117647059	-0.176470588235294	-0.294117647058824	1.17647058823529	-0.294117647058824	-0.529411764705882
"00940"	1.46428571428571	1.21428571428571	1.07142857142857	0.464285714285714	2.82142857142857	1.14285714285714	1.07142857142857	0.607142857142857	1.03571428571429	1.03571428571429	1.28571428571429	0.642857142857143	0.214285714285714	0.928571428571429	0.214285714285714	-0.25
"00950"	1.125	0.8125	0.8125	0	2.9375	1.4375	0.6875	0.375	0.8125	0.3125	0.8125	0	-0.6875	1.625	0.5	-0.4375
"00960"	1.16666666666667	0.5	0.5	-0.666666666666667	3	1.5	1.16666666666667	0.5	0.166666666666667	0	1	0.333333333333333	-0.5	1.66666666666667	0.166666666666667	0
"00970"	0.833333333333333	0.75	0.666666666666667	0.25	2.33333333333333	0.833333333333333	0.833333333333333	0.5	0.666666666666667	0.416666666666667	0.666666666666667	0.916666666666667	0.916666666666667	0.833333333333333	0.333333333333333	-0.25
"00980"	1.38636363636364	1.11363636363636	1.13636363636364	0.477272727272727	3.34090909090909	1.59090909090909	1.15909090909091	0.636363636363636	1.04545454545455	0.659090909090909	1.09090909090909	0.431818181818182	0.0227272727272727	1.43181818181818	0.477272727272727	-0.363636363636364
"00990"	1.56666666666667	1.26666666666667	1.36666666666667	0.4	3.83333333333333	1.36666666666667	1.2	0.9	0.733333333333333	0.3	1.5	0.766666666666667	0.2	1.36666666666667	0.633333333333333	-0.0666666666666667
